cantica;canto;n_verso;verso
Inferno;I;​1;Nel mezzo del cammin di nostra vita
Inferno;I;​2;mi ritrovai per una selva oscura,
Inferno;I;​3;ché la diritta via era smarrita.
Inferno;I;​4;Ahi quanto a dir qual era è cosa dura
Inferno;I;​5;esta selva selvaggia e aspra e forte
Inferno;I;​6;che nel pensier rinova la paura!
Inferno;I;​7;"Tant'è amara che poco è più morte;"
Inferno;I;​8;ma per trattar del ben ch'i' vi trovai,
Inferno;I;​9;dirò de l'altre cose ch'i' v'ho scorte.
Inferno;I;​10;Io non so ben ridir com'i' v'intrai,
Inferno;I;​11;tant'era pien di sonno a quel punto
Inferno;I;​12;che la verace via abbandonai.
Inferno;I;​13;Ma poi ch'i' fui al piè d'un colle giunto,
Inferno;I;​14;là dove terminava quella valle
Inferno;I;​15;che m'avea di paura il cor compunto,
Inferno;I;​16;guardai in alto, e vidi le sue spalle
Inferno;I;​17;vestite già de' raggi del pianeta
Inferno;I;​18;che mena dritto altrui per ogne calle.
Inferno;I;​19;Allor fu la paura un poco queta,
Inferno;I;​20;che nel lago del cor m'era durata
Inferno;I;​21;la notte ch'i' passai con tanta pieta.
Inferno;I;​22;E come quei che con lena affannata,
Inferno;I;​23;uscito fuor del pelago a la riva,
Inferno;I;​24;si volge a l'acqua perigliosa e guata,
Inferno;I;​25;così l'animo mio, ch'ancor fuggiva,
Inferno;I;​26;si volse a retro a rimirar lo passo
Inferno;I;​27;che non lasciò già mai persona viva.
Inferno;I;​28;Poi ch'èi posato un poco il corpo lasso,
Inferno;I;​29;ripresi via per la piaggia diserta,
Inferno;I;​30;sì che 'l piè fermo sempre era 'l più basso.
Inferno;I;​31;Ed ecco, quasi al cominciar de l'erta,
Inferno;I;​32;una lonza leggera e presta molto,
Inferno;I;​33;"che di pel macolato era coverta;"
Inferno;I;​34;e non mi si partia dinanzi al volto,
Inferno;I;​35;anzi 'mpediva tanto il mio cammino,
Inferno;I;​36;ch'i' fui per ritornar più volte vòlto.
Inferno;I;​37;Temp'era dal principio del mattino,
Inferno;I;​38;e 'l sol montava 'n sù con quelle stelle
Inferno;I;​39;ch'eran con lui quando l'amor divino
Inferno;I;​40;"mosse di prima quelle cose belle;"
Inferno;I;​41;sì ch'a bene sperar m'era cagione
Inferno;I;​42;di quella fiera a la gaetta pelle
Inferno;I;​43;"l'ora del tempo e la dolce stagione;"
Inferno;I;​44;ma non sì che paura non mi desse
Inferno;I;​45;la vista che m'apparve d'un leone.
Inferno;I;​46;Questi parea che contra me venisse
Inferno;I;​47;con la test'alta e con rabbiosa fame,
Inferno;I;​48;sì che parea che l'aere ne tremesse.
Inferno;I;​49;Ed una lupa, che di tutte brame
Inferno;I;​50;sembiava carca ne la sua magrezza,
Inferno;I;​51;e molte genti fé già viver grame,
Inferno;I;​52;questa mi porse tanto di gravezza
Inferno;I;​53;con la paura ch'uscia di sua vista,
Inferno;I;​54;ch'io perdei la speranza de l'altezza.
Inferno;I;​55;E qual è quei che volontieri acquista,
Inferno;I;​56;e giugne 'l tempo che perder lo face,
Inferno;I;​57;"che 'n tutti suoi pensier piange e s'attrista;"
Inferno;I;​58;tal mi fece la bestia sanza pace,
Inferno;I;​59;che, venendomi 'ncontro, a poco a poco
Inferno;I;​60;mi ripigneva là dove 'l sol tace.
Inferno;I;​61;Mentre ch'i' rovinava in basso loco,
Inferno;I;​62;dinanzi a li occhi mi si fu offerto
Inferno;I;​63;chi per lungo silenzio parea fioco.
Inferno;I;​64;Quando vidi costui nel gran diserto,
Inferno;I;​65;"""miserere di me"", gridai a lui,"
Inferno;I;​66;"""qual che tu sii, od ombra od omo certo!""."
Inferno;I;​67;"Rispuosemi: ""Non omo, omo già fui,"
Inferno;I;​68;e li parenti miei furon lombardi,
Inferno;I;​69;mantoani per patrïa ambedui.
Inferno;I;​70;Nacqui sub Iulio, ancor che fosse tardi,
Inferno;I;​71;e vissi a Roma sotto 'l buono Augusto
Inferno;I;​72;nel tempo de li dèi falsi e bugiardi.
Inferno;I;​73;Poeta fui, e cantai di quel giusto
Inferno;I;​74;figliuol d'Anchise che venne di Troia,
Inferno;I;​75;poi che 'l superbo Ilïón fu combusto.
Inferno;I;​76;Ma tu perché ritorni a tanta noia?
Inferno;I;​77;perché non sali il dilettoso monte
Inferno;I;​78;"ch'è principio e cagion di tutta gioia?""."
Inferno;I;​79;"""Or se' tu quel Virgilio e quella fonte"
Inferno;I;​80;"che spandi di parlar sì largo fiume?"","
Inferno;I;​81;rispuos'io lui con vergognosa fronte.
Inferno;I;​82;"""O de li altri poeti onore e lume,"
Inferno;I;​83;vagliami 'l lungo studio e 'l grande amore
Inferno;I;​84;che m'ha fatto cercar lo tuo volume.
Inferno;I;​85;Tu se' lo mio maestro e 'l mio autore,
Inferno;I;​86;tu se' solo colui da cu' io tolsi
Inferno;I;​87;lo bello stilo che m'ha fatto onore.
Inferno;I;​88;"Vedi la bestia per cu' io mi volsi;"
Inferno;I;​89;aiutami da lei, famoso saggio,
Inferno;I;​90;"ch'ella mi fa tremar le vene e i polsi""."
Inferno;I;​91;"""A te convien tenere altro vïaggio"","
