cantica;canto;range_versi;terzina
Inferno;I;1_3;Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita.
Inferno;I;4_6;Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura!
Inferno;I;7_9;"Tant'è amara che poco è più morte; ma per trattar del ben ch'i' vi trovai, dirò de l'altre cose ch'i' v'ho scorte."
Inferno;I;10_12;Io non so ben ridir com'i' v'intrai, tant'era pien di sonno a quel punto che la verace via abbandonai.
Inferno;I;13_15;Ma poi ch'i' fui al piè d'un colle giunto, là dove terminava quella valle che m'avea di paura il cor compunto,
Inferno;I;16_18;guardai in alto, e vidi le sue spalle vestite già de' raggi del pianeta che mena dritto altrui per ogne calle.
Inferno;I;19_21;Allor fu la paura un poco queta, che nel lago del cor m'era durata la notte ch'i' passai con tanta pieta.
Inferno;I;22_24;E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l'acqua perigliosa e guata,
Inferno;I;25_27;così l'animo mio, ch'ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva.
Inferno;I;28_30;Poi ch'èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che 'l piè fermo sempre era 'l più basso.
Inferno;I;31_33;"Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta;"
Inferno;I;34_36;e non mi si partia dinanzi al volto, anzi 'mpediva tanto il mio cammino, ch'i' fui per ritornar più volte vòlto.
Inferno;I;37_39;Temp'era dal principio del mattino, e 'l sol montava 'n sù con quelle stelle ch'eran con lui quando l'amor divino
Inferno;I;40_42;"mosse di prima quelle cose belle; sì ch'a bene sperar m'era cagione di quella fiera a la gaetta pelle"
Inferno;I;43_45;"l'ora del tempo e la dolce stagione; ma non sì che paura non mi desse la vista che m'apparve d'un leone."
Inferno;I;46_48;Questi parea che contra me venisse con la test'alta e con rabbiosa fame, sì che parea che l'aere ne tremesse.
Inferno;I;49_51;Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame,
Inferno;I;52_54;questa mi porse tanto di gravezza con la paura ch'uscia di sua vista, ch'io perdei la speranza de l'altezza.
Inferno;I;55_57;"E qual è quei che volontieri acquista, e giugne 'l tempo che perder lo face, che 'n tutti suoi pensier piange e s'attrista;"
Inferno;I;58_60;tal mi fece la bestia sanza pace, che, venendomi 'ncontro, a poco a poco mi ripigneva là dove 'l sol tace.
